month_id,date,asset_id,asset_name,security,px_last,ret
2021-02,2021-02-26,allianz,安聯台灣智慧,AGCVBED TT Equity,67.44,
2021-03,2021-03-31,allianz,安聯台灣智慧,AGCVBED TT Equity,69.25,2.6838671412
2021-04,2021-04-29,allianz,安聯台灣智慧,AGCVBED TT Equity,79.09,14.2093862816
2021-05,2021-05-31,allianz,安聯台灣智慧,AGCVBED TT Equity,74.04,-6.3851308636
2021-06,2021-06-30,allianz,安聯台灣智慧,AGCVBED TT Equity,82.83,11.8719611021
2021-07,2021-07-30,allianz,安聯台灣智慧,AGCVBED TT Equity,83.54,0.8571773512
2021-08,2021-08-31,allianz,安聯台灣智慧,AGCVBED TT Equity,85.41,2.2384486474
2021-09,2021-09-30,allianz,安聯台灣智慧,AGCVBED TT Equity,86.04,0.7376185458
2021-10,2021-10-29,allianz,安聯台灣智慧,AGCVBED TT Equity,92.44,7.4384007438
2021-11,2021-11-30,allianz,安聯台灣智慧,AGCVBED TT Equity,97.03,4.9653829511
2021-12,2021-12-30,allianz,安聯台灣智慧,AGCVBED TT Equity,100.55,3.6277439967
2022-01,2022-01-26,allianz,安聯台灣智慧,AGCVBED TT Equity,90.16,-10.3331675783
2022-02,2022-02-25,allianz,安聯台灣智慧,AGCVBED TT Equity,94.72,5.057675244
2022-03,2022-03-31,allianz,安聯台灣智慧,AGCVBED TT Equity,94.72,0
2022-04,2022-04-29,allianz,安聯台灣智慧,AGCVBED TT Equity,81.24,-14.2314189189
2022-05,2022-05-31,allianz,安聯台灣智慧,AGCVBED TT Equity,84.04,3.4465780404
2022-06,2022-06-30,allianz,安聯台灣智慧,AGCVBED TT Equity,72.15,-14.1480247501
2022-07,2022-07-29,allianz,安聯台灣智慧,AGCVBED TT Equity,72.76,0.8454608455
2022-08,2022-08-31,allianz,安聯台灣智慧,AGCVBED TT Equity,74.38,2.2264980759
2022-09,2022-09-30,allianz,安聯台灣智慧,AGCVBED TT Equity,66.39,-10.7421349825
2022-10,2022-10-31,allianz,安聯台灣智慧,AGCVBED TT Equity,62.46,-5.9195661997
2022-11,2022-11-30,allianz,安聯台灣智慧,AGCVBED TT Equity,71.26,14.0890169709
2022-12,2022-12-30,allianz,安聯台灣智慧,AGCVBED TT Equity,67.64,-5.0799887735
2023-01,2023-01-31,allianz,安聯台灣智慧,AGCVBED TT Equity,72.95,7.8503843879
2023-02,2023-02-24,allianz,安聯台灣智慧,AGCVBED TT Equity,77.83,6.6895133653
2023-03,2023-03-31,allianz,安聯台灣智慧,AGCVBED TT Equity,81.45,4.6511627907
2023-04,2023-04-28,allianz,安聯台灣智慧,AGCVBED TT Equity,78.87,-3.167587477
2023-05,2023-05-31,allianz,安聯台灣智慧,AGCVBED TT Equity,86.17,9.2557372892
2023-06,2023-06-30,allianz,安聯台灣智慧,AGCVBED TT Equity,92.59,7.4503887664
2023-07,2023-07-31,allianz,安聯台灣智慧,AGCVBED TT Equity,99.1,7.0309968679
2023-08,2023-08-31,allianz,安聯台灣智慧,AGCVBED TT Equity,99.58,0.4843592331
2023-09,2023-09-28,allianz,安聯台灣智慧,AGCVBED TT Equity,98.43,-1.1548503716
2023-10,2023-10-31,allianz,安聯台灣智慧,AGCVBED TT Equity,92.6,-5.922990958
2023-11,2023-11-30,allianz,安聯台灣智慧,AGCVBED TT Equity,104.28,12.6133909287
