month_id,factor_code,factor_name,RF_ANN,RF,MKT_RF,SMB,HML_BM,EP,DY,MOM
2021-01,Z9999,上市＋上櫃,0.795,0.06625,2.159,-5.5133,-5.1211,0.591,-2.0183,3.6773
2021-02,Z9999,上市＋上櫃,0.795,0.06625,5.6097,1.4213,2.909,0.9453,0.1169,3.753
2021-03,Z9999,上市＋上櫃,0.795,0.06625,3.307,4.3685,6.8896,3.038,2.2725,2.9574
2021-04,Z9999,上市＋上櫃,0.795,0.06625,6.8376,-1.0975,13.8087,-4.029,-3.546,3.9953
2021-05,Z9999,上市＋上櫃,0.795,0.06625,-3.1517,-5.1523,-0.1068,4.2795,2.6681,-0.5906
2021-06,Z9999,上市＋上櫃,0.795,0.06625,4.4408,3.1305,6.5403,-0.2474,-2.5206,7.1333
2021-07,Z9999,上市＋上櫃,0.795,0.06625,-1.6915,5.1132,-0.9538,-1.3719,2.6202,-0.6819
2021-08,Z9999,上市＋上櫃,0.795,0.06625,2.0308,-3.7461,0.9455,1.6946,0.066,-0.6039
2021-09,Z9999,上市＋上櫃,0.795,0.06625,-2.9543,2.287,1.5284,-2.3177,3.2792,-3.491
2021-10,Z9999,上市＋上櫃,0.795,0.06625,0.4619,1.757,-0.9877,-2.1134,0.7908,-0.6307
2021-11,Z9999,上市＋上櫃,0.795,0.06625,2.7605,2.3042,-0.9817,-0.9676,-1.8115,4.0628
2021-12,Z9999,上市＋上櫃,0.795,0.06625,4.6572,1.0776,-0.5911,-2.2018,-0.7031,-0.17
2022-01,Z9999,上市＋上櫃,0.795,0.06625,-3.5195,-3.1499,0.4848,4.8575,3.2617,-5.1598
2022-02,Z9999,上市＋上櫃,0.795,0.06625,-0.0627,1.4008,2.6511,0.6757,0.8792,5.4526
2022-03,Z9999,上市＋上櫃,1.045,0.0870833333,0.4447,1.3466,2.5761,1.7645,2.5109,2.0041
2022-04,Z9999,上市＋上櫃,1.045,0.0870833333,-6.5461,1.4151,4.218,3.641,3.9121,-1.0561
2022-05,Z9999,上市＋上櫃,1.045,0.0870833333,1.3589,0.3682,-1.8699,-2.402,-2.3591,-2.0565
2022-06,Z9999,上市＋上櫃,1.2,0.1,-10.3602,4.1429,3.7392,0.7193,4.9969,1.6412
2022-07,Z9999,上市＋上櫃,1.2,0.1,3.0134,0.451,-1.1939,-2.6786,-3.191,0.1068
2022-08,Z9999,上市＋上櫃,1.2,0.1,1.7543,4.9071,2.5361,-0.9555,-0.9056,2.1997
2022-09,Z9999,上市＋上櫃,1.325,0.1104166667,-11.0687,0.7901,4.2588,2.5282,2.2393,3.8487
2022-10,Z9999,上市＋上櫃,1.325,0.1104166667,-3.7037,-1.7113,2.0228,3.4623,4.5457,-2.3984
2022-11,Z9999,上市＋上櫃,1.325,0.1104166667,14.6451,-2.0792,-6.1514,-6.7261,-6.0437,-6.5318
2022-12,Z9999,上市＋上櫃,1.45,0.1208333333,-4.7267,2.9678,1.1083,2.2351,1.5041,2.0985
2023-01,Z9999,上市＋上櫃,1.45,0.1208333333,7.8156,-3.2805,-4.349,-3.6099,-3.0002,-3.4194
2023-02,Z9999,上市＋上櫃,1.45,0.1208333333,1.7946,4.9676,-0.5219,1.0517,1.057,4.5048
2023-03,Z9999,上市＋上櫃,1.575,0.13125,2.5436,1.3494,-3.1532,-2.6745,0.3841,-0.1736
2023-04,Z9999,上市＋上櫃,1.575,0.13125,-1.8452,4.1287,3.0315,0.7207,0.2532,3.7124
2023-05,Z9999,上市＋上櫃,1.575,0.13125,6.0687,-1.2603,-2.5879,-1.544,-1.0304,4.5707
2023-06,Z9999,上市＋上櫃,1.575,0.13125,3.422,2.2092,0.9452,-1.1157,-1.3228,5.1099
2023-07,Z9999,上市＋上櫃,1.575,0.13125,2.0907,-2.2501,3.4026,6.2176,4.4494,5.8316
2023-08,Z9999,上市＋上櫃,1.575,0.13125,-2.779,-0.4819,1.1824,2.3902,1.9068,0.2239
2023-09,Z9999,上市＋上櫃,1.575,0.13125,-1.4472,2.0952,1.7427,1.3616,3.3157,-1.5715
2023-10,Z9999,上市＋上櫃,1.575,0.13125,-2.2206,0.752,-1.5141,-0.5566,0.7537,-1.6167
2023-11,Z9999,上市＋上櫃,1.575,0.13125,8.9497,1.2908,-0.2749,1.1683,-1.5633,5.89
2023-12,Z9999,上市＋上櫃,1.575,0.13125,2.702,-1.5516,2.1723,0.5634,1.831,0.0293
2024-01,Z9999,上市＋上櫃,1.575,0.13125,-0.1377,1.831,0.1511,2.8331,-2.2041,6.1843
2024-02,Z9999,上市＋上櫃,1.575,0.13125,5.7585,2.7441,-1.1266,2.1906,0.0219,6.3394
2024-03,Z9999,上市＋上櫃,1.7,0.1416666667,6.6041,-6.4691,1.6685,6.9829,1.2161,3.3173
2024-04,Z9999,上市＋上櫃,1.7,0.1416666667,0.2691,1.9981,3.8834,-2.2549,-1.2096,-1.4161
2024-05,Z9999,上市＋上櫃,1.7,0.1416666667,3.6538,2.3105,3.0998,1.9747,1.4907,1.8451
2024-06,Z9999,上市＋上櫃,1.7,0.1416666667,8.8215,-2.1882,-5.2479,2.0015,-4.4614,6.4706
2024-07,Z9999,上市＋上櫃,1.7,0.1416666667,-2.8065,1.6377,5.0572,3.8018,2.8499,0.3055
2024-08,Z9999,上市＋上櫃,1.7,0.1416666667,0.838,1.5164,-0.1855,0.6605,-1.2519,2.2623
2024-09,Z9999,上市＋上櫃,1.7,0.1416666667,-0.3328,0.2149,1.3317,-0.4209,-0.4257,-2.1372
2024-10,Z9999,上市＋上櫃,1.7,0.1416666667,2.1925,-2.4099,-2.3326,1.0181,-3.1593,3.2792
2024-11,Z9999,上市＋上櫃,1.7,0.1416666667,-2.6018,-0.0989,0.9103,0.9789,2.6336,0.351
2024-12,Z9999,上市＋上櫃,1.7,0.1416666667,3.1705,-2.5394,-5.5855,0.5621,-3.3874,5.2321
2025-01,Z9999,上市＋上櫃,1.7,0.1416666667,1.7037,-2.8959,-2.5409,0.9531,-1.0088,0.7766
2025-02,Z9999,上市＋上櫃,1.7,0.1416666667,-1.8267,5.9681,4.0049,0.4834,5.0965,-5.4434
2025-03,Z9999,上市＋上櫃,1.7,0.1416666667,-10.1926,0.4644,1.7343,3.642,6.7454,0.4131
2025-04,Z9999,上市＋上櫃,1.7,0.1416666667,-2.47,-2.1057,-2.6328,1.5009,-0.1909,0.944
2025-05,Z9999,上市＋上櫃,1.7,0.1416666667,5.1681,-1.8959,-1.8105,-1.621,-1.7729,-1.729
2025-06,Z9999,上市＋上櫃,1.7,0.1416666667,4.7724,-4.3357,-3.7064,0.4106,-3.9138,3.9401
2025-07,Z9999,上市＋上櫃,1.7,0.1416666667,6.3812,-4.7884,-2.6821,-5.839,-6.0877,-1.5064
2025-08,Z9999,上市＋上櫃,1.7,0.1416666667,3.5333,3.4847,-2.1825,-7.0613,-2.6709,-1.5949
2025-09,Z9999,上市＋上櫃,1.7,0.1416666667,6.3356,-5.5726,-1.6785,-0.1989,-2.7547,0.1097
2025-10,Z9999,上市＋上櫃,1.7,0.1416666667,8.6172,-7.9763,-3.3941,-1.6119,-5.4367,4.8938
2025-11,Z9999,上市＋上櫃,1.7,0.1416666667,-2.1469,-0.1075,4.3269,-1.4222,0.7052,-1.3636
2025-12,Z9999,上市＋上櫃,1.7,0.1416666667,4.8875,0.3896,-0.9368,-1.7878,-3.025,4.8496
