month_id,factor_code,factor_name,RF_ANN,RF,MKT_RF,SMB,HML_BM,EP,DY,MOM,ret_allianz,ret_jko,ret_0050,excess_allianz,excess_jko,excess_0050
2021-03,Z9999,上市＋上櫃,0.795,0.06625,3.307,4.3685,6.8896,3.038,2.2725,2.9574,2.6838671412,3.3291614518,1.011994003,2.6176171412,3.2629114518,0.945744003
2021-04,Z9999,上市＋上櫃,0.795,0.06625,6.8376,-1.0975,13.8087,-4.029,-3.546,3.9953,14.2093862816,3.246124031,4.3413729128,14.1431362816,3.179874031,4.2751229128
2021-05,Z9999,上市＋上櫃,0.795,0.06625,-3.1517,-5.1523,-0.1068,4.2795,2.6681,-0.5906,-6.3851308636,-10.5114969498,-2.4893314367,-6.4513808636,-10.5777469498,-2.5555814367
2021-06,Z9999,上市＋上櫃,0.795,0.06625,4.4408,3.1305,6.5403,-0.2474,-2.5206,7.1333,11.8719611021,2.8841111694,1.3493800146,11.8057111021,2.8178611694,1.2831300146
2021-07,Z9999,上市＋上櫃,0.795,0.06625,-1.6915,5.1132,-0.9538,-1.3719,2.6202,-0.6819,0.8571773512,-1.8858307849,-2.0870816841,0.7909273512,-1.9520807849,-2.1533316841
2021-08,Z9999,上市＋上櫃,0.795,0.06625,2.0308,-3.7461,0.9455,1.6946,0.066,-0.6039,2.2384486474,0.8051948052,3.1606027196,2.1721986474,0.7389448052,3.0943527196
2021-09,Z9999,上市＋上櫃,0.795,0.06625,-2.9543,2.287,1.5284,-2.3177,3.2792,-3.491,0.7376185458,-6.647771193,-2.3512646954,0.6713685458,-6.714021193,-2.4175146954
2021-10,Z9999,上市＋上櫃,0.795,0.06625,0.4619,1.757,-0.9877,-2.1134,0.7908,-0.6307,7.4384007438,6.2103229368,-0.9120758847,7.3721507438,6.1440729368,-0.9783258847
2021-11,Z9999,上市＋上櫃,0.795,0.06625,2.7605,2.3042,-0.9817,-0.9676,-1.8115,4.0628,4.9653829511,9.6933471933,1.6200294551,4.8991329511,9.6270971933,1.5537794551
2021-12,Z9999,上市＋上櫃,0.795,0.06625,4.6572,1.0776,-0.5911,-2.2018,-0.7031,-0.17,3.6277439967,1.8479033404,5.4347826087,3.5614939967,1.7816533404,5.3685326087
2022-01,Z9999,上市＋上櫃,0.795,0.06625,-3.5195,-3.1499,0.4848,4.8575,3.2617,-5.1598,-10.3331675783,-8.5368690393,-2.7147766323,-10.3994175783,-8.6031190393,-2.7810266323
