month,FCNTX_ret,AGTHX_ret,SPY_ret,Date,ACTIVE_EW_ret,Mkt_RF,SMB,HML,RMW,CMA,RF,MOM,FCNTX_excess,AGTHX_excess,SPY_excess,ACTIVE_EW_excess
2021-01,,,,2021-01-31,,-0.0007,0.0681,0.0322,-0.0365,0.0496999999999999,0.0,0.0431,,,,
2021-02,0.0156659069534936,0.0158407542761349,0.0278053567121625,2021-02-28,0.01575333061481425,0.0281,0.045,0.072,0.0033,-0.0199,0.0,-0.079,0.0156659069534936,0.0158407542761349,0.0278053567121625,0.01575333061481425
2021-03,0.0206546764990489,0.008744891153787,0.0454051054227686,2021-03-31,0.014699783826417949,0.0316,-0.0084,0.0735,0.0635,0.0352,0.0,-0.0612,0.0206546764990489,0.008744891153787,0.0454051054227686,0.014699783826417949
2021-04,0.0702317902445401,0.0546166935434311,0.0529104278925076,2021-04-30,0.0624242418939856,0.0496999999999999,-0.0316,-0.0102,0.0243,-0.0272,0.0,0.0123,0.0702317902445401,0.0546166935434311,0.0529104278925076,0.0624242418939856
2021-05,0.0022299438695634,-0.0067131355225535,0.0065662063036706,2021-05-31,-0.0022415958264950502,0.0029,0.0127,0.0704,0.0233999999999999,0.0301,0.0,0.0056,0.0022299438695634,-0.0067131355225535,0.0065662063036706,-0.0022415958264950502
2021-06,0.0410631148228015,0.0339321115022051,0.0224725300570693,2021-06-30,0.0374976131625033,0.0273,-0.003,-0.0786,-0.0214,-0.0093,0.0,0.0207,0.0410631148228015,0.0339321115022051,0.0224725300570693,0.0374976131625033
2021-07,0.0213209784374863,0.0098705963835856,0.0244126428200903,2021-07-31,0.01559578741053595,0.0134,-0.0455,-0.0179,0.055,-0.0059,0.0,-0.0218,0.0213209784374863,0.0098705963835856,0.0244126428200903,0.01559578741053595
2021-08,0.045406660503515,0.0359327261560873,0.0297597590380749,2021-08-31,0.04066969332980115,0.0295,-0.0066,-0.0023,-0.0026,-0.0172,0.0,0.0263,0.045406660503515,0.0359327261560873,0.0297597590380749,0.04066969332980115
2021-09,-0.0599074550128535,-0.034940696382685,-0.0465752210470136,2021-09-30,-0.047424075697769255,-0.044,0.0112,0.0512,-0.0192,0.02,0.0,0.0139,-0.0599074550128535,-0.034940696382685,-0.0465752210470136,-0.047424075697769255
2021-10,0.069565978298915,0.0868120219447583,0.070163540287224,2021-10-31,0.07818900012183666,0.0663,-0.027,-0.0053,0.0171,-0.0154,0.0,0.0332,0.069565978298915,0.0868120219447583,0.070163540287224,0.07818900012183666
2021-11,-0.0009885734544164,-0.0282051282051282,-0.0080348221062153,2021-11-30,-0.0145968508297723,-0.0158,-0.017,-0.0037,0.0719,0.017,0.0,0.0096,-0.0009885734544164,-0.0282051282051282,-0.0080348221062153,-0.0145968508297723
2021-12,0.0131849233268044,0.008379785762254,0.046288256595772,2021-12-31,0.0107823545445292,0.0324,-0.0078,0.0325,0.0487999999999999,0.0429,0.0001,-0.0239,0.013084923326804401,0.008279785762254,0.046188256595772,0.010682354544529201
2022-01,-0.0820945286030863,-0.0998655309888293,-0.0527413118646414,2022-01-31,-0.0909800297959578,-0.0615,-0.0401,0.1286,0.0077,0.0773,0.0,-0.0242,-0.0820945286030863,-0.0998655309888293,-0.0527413118646414,-0.0909800297959578
