Mkt_RF,SMB,HML,RMW,CMA,RF,Date,month,MOM,LT_Rev
-0.0007,0.0681,0.0322,-0.0365,0.0496999999999999,0.0,2021-01-31,2021-01,0.0431,0.0942
0.0281,0.045,0.072,0.0033,-0.0199,0.0,2021-02-28,2021-02,-0.079,0.0408
0.0316,-0.0084,0.0735,0.0635,0.0352,0.0,2021-03-31,2021-03,-0.0612,0.0322
0.0496999999999999,-0.0316,-0.0102,0.0243,-0.0272,0.0,2021-04-30,2021-04,0.0123,-0.019
0.0029,0.0127,0.0704,0.0233999999999999,0.0301,0.0,2021-05-31,2021-05,0.0056,0.053099999999999994
0.0273,-0.003,-0.0786,-0.0214,-0.0093,0.0,2021-06-30,2021-06,0.0207,-0.017
0.0134,-0.0455,-0.0179,0.055,-0.0059,0.0,2021-07-31,2021-07,-0.0218,-0.0754
0.0295,-0.0066,-0.0023,-0.0026,-0.0172,0.0,2021-08-31,2021-08,0.0263,-0.010700000000000001
-0.044,0.0112,0.0512,-0.0192,0.02,0.0,2021-09-30,2021-09,0.0139,0.048600000000000004
0.0663,-0.027,-0.0053,0.0171,-0.0154,0.0,2021-10-31,2021-10,0.0332,-0.0313
-0.0158,-0.017,-0.0037,0.0719,0.017,0.0,2021-11-30,2021-11,0.0096,-0.0394
0.0324,-0.0078,0.0325,0.0487999999999999,0.0429,0.0001,2021-12-31,2021-12,-0.0239,-0.0042
-0.0615,-0.0401,0.1286,0.0077,0.0773,0.0,2022-01-31,2022-01,-0.0242,0.1186
-0.0227999999999999,0.0286,0.0306,-0.0203,0.0302999999999999,0.0,2022-02-28,2022-02,0.0166,0.052199999999999996
0.0308,-0.0210999999999999,-0.019,-0.015,0.0321,0.0,2022-03-31,2022-03,0.0294,0.0152
-0.0941,-0.0034999999999999,0.0617999999999999,0.0341,0.0592,0.0,2022-04-30,2022-04,0.05,0.071
-0.0033,-0.0003,0.0843999999999999,0.0155,0.0395,0.0003,2022-05-31,2022-05,0.0254,0.056900000000000006
-0.084,0.0133,-0.06,0.0176,-0.0458,0.0006,2022-06-30,2022-06,0.0109,-0.0208
0.0957,0.0178,-0.0415,0.0077,-0.0684999999999999,0.0008,2022-07-31,2022-07,-0.0436,-0.0635
-0.0377,0.0149,0.0018,-0.0478,0.0132,0.0019,2022-08-31,2022-08,0.0185,0.043
-0.0934,-0.0097,0.0003,-0.0137,-0.0077,0.0019,2022-09-30,2022-09,0.0366999999999999,-0.013500000000000002
0.0786,0.0181,0.0797,0.0327,0.0643,0.0023,2022-10-31,2022-10,0.039,0.0906
0.0469,-0.0275,0.0148,0.063,0.0315,0.0029,2022-11-30,2022-11,-0.017,-0.0072
-0.0638,-0.0019,0.0134,0.0032,0.0428,0.0033,2022-12-31,2022-12,0.0491,0.023
0.0659,0.0438999999999999,-0.0394,-0.0242,-0.0443,0.0034999999999999,2023-01-31,2023-01,-0.1617,-0.011899999999999999
-0.0256999999999999,0.0058,-0.008,0.0097,-0.0151,0.0034,2023-02-28,2023-02,0.0055,-0.0227
0.0249,-0.0689,-0.0905,0.0227,-0.021,0.0036,2023-03-31,2023-03,-0.0235,-0.0554
