Date,open,high,low,close,adjusted_close,volume,dividend_amount,ret,month
2021-01-29,375.31,385.85,364.82,370.07,345.3723,1400691918,0.0,,2021-01
2021-02-26,373.72,394.17,370.376,380.36,354.9755,1297509572,0.0,0.027805356712162554,2021-02
2021-03-31,385.59,398.12,371.88,396.33,371.0932,2401881132,1.2778,0.045405105422768655,2021-03
2021-04-30,398.4,420.72,398.18,417.3,390.7279,1462173411,0.0,0.05291042789250766,2021-04
2021-05-28,419.43,422.815,404.0,420.04,393.2935,1527034281,0.0,0.006566206303670663,2021-05
2021-06-30,422.57,428.78,414.7,428.06,402.1318,1281016394,1.3759,0.022472530057069395,2021-06
2021-07-30,428.87,441.8,421.97,438.51,411.9489,1420579578,0.0,0.02441264282009037,2021-07
2021-08-31,440.34,453.07,436.1,451.56,424.2084,1253428256,0.0,0.02975975903807493,2021-08
2021-09-30,452.56,454.05,428.78,429.14,404.4508,1745953627,1.4281,-0.046575221047013615,2021-09
2021-10-29,430.98,459.56,426.36,459.25,432.8285,1508665331,0.0,0.07016354028722405,2021-10
2021-11-30,460.3,473.54,455.3,455.56,429.3508,1329958701,0.0,-0.008034822106215311,2021-11
2021-12-31,461.64,479.0,448.92,474.96,449.2247,1926485453,1.6335,0.04628825659577207,2021-12
2022-01-31,476.3,479.98,420.76,449.91,425.532,2478637614,0.0,-0.05274131186464148,2022-01
2022-02-28,450.68,458.12,410.64,436.63,412.9716,2295905184,0.0,-0.029516934096613046,2022-02
2022-03-31,435.04,462.07,415.12,451.64,428.481,2374192157,1.366,0.0375556091508471,2022-03
2022-04-29,453.31,457.83,411.21,412.0,390.8736,1850850552,0.0,-0.08776911928416897,2022-04
2022-05-31,412.07,429.66,380.54,412.93,391.7559,2415337241,0.0,0.002257251449061748,2022-05
2022-06-30,415.17,417.44,362.17,377.25,359.4481,1958752731,1.5769,-0.0824692110571914,2022-06
2022-07-29,376.56,413.03,371.04,411.99,392.5488,1437748370,0.0,0.09208756424084585,2022-07
2022-08-31,409.15,431.73,395.04,395.18,376.532,1442452663,0.0,-0.04080206078836579,2022-08
2022-09-30,392.89,411.73,357.04,357.18,341.7343,1995062808,1.5964,-0.09241631521358074,2022-09
2022-10-31,361.08,389.52,348.11,386.21,369.5089,2024731829,0.0,0.08127542362589879,2022-10
2022-11-30,390.14,407.68,368.79,407.68,390.0505,1746114943,0.0,0.05559162445072374,2022-11
2022-12-30,408.77,410.49,374.77,382.43,367.593,1735973711,1.7814,-0.057575877995285185,2022-12
2023-01-31,384.37,408.16,377.831,406.48,390.7099,1575449950,0.0,0.06288721493608418,2023-01
2023-02-28,405.211,418.31,393.64,396.26,380.8864,1603224252,0.0,-0.025142695386014102,2023-02
2023-03-31,395.41,409.7,380.65,409.39,395.0268,2516860295,1.5062,0.037124980046544076,2023-03
2023-04-28,408.85,415.94,403.78,415.93,401.3374,1392713656,0.0,0.015975118650177755,2023-04
2023-05-31,415.47,422.58,403.74,417.85,403.19,1776447412,0.0,0.004616066182718148,2023-05
2023-06-30,418.09,444.3,416.79,443.28,429.3224,1749958214,1.6384,0.0648141074927453,2023-06
2023-07-31,442.92,459.44,437.06,457.79,443.3756,1374774872,0.0,0.03273344228020725,2023-07
2023-08-31,456.27,457.25,433.01,450.35,436.1698,1755315375,0.0,-0.016252134758881653,2023-08
2023-09-29,453.17,453.67,422.29,427.48,415.4983,1589390585,1.5832,-0.0473932399721394,2023-09
2023-10-31,426.62,438.14,409.21,418.2,406.4784,1999352275,0.0,-0.02170863274290158,2023-10
2023-11-30,419.2,458.32,418.6499,456.4,443.6077,1500345254,0.0,0.09134384508500326,2023-11
2023-12-29,455.77,477.55,454.31,475.31,463.864,1634337932,1.9061,0.04566264291625233,2023-12
2024-01-31,472.16,491.62,466.43,482.88,471.2517,1698148385,0.0,0.015926435334494782,2024-01
2024-02-29,484.63,510.13,483.8,508.08,495.8448,1393617806,0.0,0.05218676134218714,2024-02
2024-03-28,508.98,524.61,504.91,523.07,512.0708,1463191348,1.5949,0.03272394910665577,2024-03
2024-04-30,523.83,524.38,493.86,501.98,491.4243,1586426473,0.0,-0.04031961986506538,2024-04
2024-05-31,501.38,533.07,499.55,527.37,516.2804,1153296957,0.0,0.05057971288762064,2024-05
2024-06-28,529.02,550.28,522.6,544.22,534.4972,888923206,1.759,0.035284701879056524,2024-06
2024-07-31,545.63,565.16,537.45,550.81,540.9694,1038489736,0.0,0.012108950243331362,2024-07
2024-08-30,552.57,564.2,510.27,563.68,553.6095,1244598926,0.0,0.02336564692938281,2024-08
2024-09-30,560.47,574.71,539.44,573.76,565.2404,1044167074,1.7455,0.021009213172823005,2024-09
2024-10-31,573.4,586.12,565.27,568.64,560.1964,976134821,0.0,-0.008923636739341267,2024-10
2024-11-29,571.32,603.35,567.89,602.55,593.6029,901761281,0.0,0.05963354994783954,2024-11
2024-12-31,602.97,609.07,580.91,586.08,579.2972,1059636545,1.9655,-0.02409978118368361,2024-12
2025-01-31,589.39,610.78,575.35,601.82,594.855,995605958,0.0,0.026856335573519186,2025-01
2025-02-28,592.67,613.23,582.44,594.18,587.3034,871641461,0.0,-0.012694858410873255,2025-02
2025-03-31,596.18,597.34,546.87,559.39,554.5783,1494729980,1.6955,-0.05572094423427487,2025-03
2025-04-30,557.45,567.42,481.8,554.54,549.7701,2237015141,0.0,-0.008670011069672356,2025-04
2025-05-30,560.37,595.54,556.04,589.39,584.3203,1402418469,0.0,0.06284481458704283,2025-05
2025-06-30,587.76,619.22,585.06,617.85,614.3507,1495567952,1.7611,0.051393730459133424,2025-06
2025-07-31,616.36,639.85,615.52,632.08,628.5001,1479850805,0.0,0.023031470461415626,2025-07
2025-08-29,626.3,649.48,619.29,645.05,641.3967,1424138342,0.0,0.020519646695362548,2025-08
2025-09-30,637.5,667.34,634.92,666.18,664.2345,1604955875,1.8311,0.03560635718892846,2025-09
2025-10-31,663.17,689.7,652.84,682.06,680.0682,1781519979,0.0,0.023837515214882643,2025-10
2025-11-28,685.67,685.8,650.85,683.39,681.3943,1663029364,0.0,0.0019499514901593074,2025-11
2025-12-31,678.81,691.66,671.195,681.92,681.92,1651994853,1.9934,0.0007715063069941852,2025-12
