MOM,Date,month
0.0431,2021-01-31,2021-01
-0.079,2021-02-28,2021-02
-0.061200000000000004,2021-03-31,2021-03
0.0123,2021-04-30,2021-04
0.005600000000000001,2021-05-31,2021-05
0.0207,2021-06-30,2021-06
-0.0218,2021-07-31,2021-07
0.0263,2021-08-31,2021-08
0.0139,2021-09-30,2021-09
0.0332,2021-10-31,2021-10
0.0096,2021-11-30,2021-11
-0.0239,2021-12-31,2021-12
-0.0242,2022-01-31,2022-01
0.0166,2022-02-28,2022-02
0.0294,2022-03-31,2022-03
0.05,2022-04-30,2022-04
0.0254,2022-05-31,2022-05
0.0109,2022-06-30,2022-06
-0.0436,2022-07-31,2022-07
0.018500000000000003,2022-08-31,2022-08
0.036699999999999997,2022-09-30,2022-09
0.039,2022-10-31,2022-10
-0.017,2022-11-30,2022-11
0.049100000000000005,2022-12-31,2022-12
-0.1617,2023-01-31,2023-01
0.0055000000000000005,2023-02-28,2023-02
-0.0235,2023-03-31,2023-03
0.0176,2023-04-30,2023-04
-0.0088,2023-05-31,2023-05
-0.0269,2023-06-30,2023-06
-0.0406,2023-07-31,2023-07
0.0378,2023-08-31,2023-08
0.0033,2023-09-30,2023-09
0.0167,2023-10-31,2023-10
0.0256,2023-11-30,2023-11
-0.0553,2023-12-31,2023-12
0.0542,2024-01-31,2024-01
0.049,2024-02-29,2024-02
-0.0032,2024-03-31,2024-03
-0.0043,2024-04-30,2024-04
-0.0016,2024-05-31,2024-05
0.0085,2024-06-30,2024-06
-0.0235,2024-07-31,2024-07
0.0481,2024-08-31,2024-08
-0.0062,2024-09-30,2024-09
0.03,2024-10-31,2024-10
0.01,2024-11-30,2024-11
-0.003,2024-12-31,2024-12
0.0096,2025-01-31,2025-01
-0.008100000000000001,2025-02-28,2025-02
-0.028399999999999998,2025-03-31,2025-03
0.049699999999999994,2025-04-30,2025-04
0.022099999999999998,2025-05-31,2025-05
-0.0264,2025-06-30,2025-06
-0.0097,2025-07-31,2025-07
-0.0354,2025-08-31,2025-08
0.0463,2025-09-30,2025-09
0.0027,2025-10-31,2025-10
-0.018000000000000002,2025-11-30,2025-11
-0.024,2025-12-31,2025-12
