asset,model,const_coef,const_p_value,Mkt_RF_coef,Mkt_RF_p_value,r_squared,adj_r_squared,n_obs,SMB_coef,SMB_p_value,HML_coef,HML_p_value,MOM_coef,MOM_p_value,RMW_coef,RMW_p_value,CMA_coef,CMA_p_value,LT_Rev_coef,LT_Rev_p_value
ACTIVE_EW,CAPM,0.00014159347349448312,0.9369770394939622,1.0575676723345948,5.7640150457274885e-34,0.9263014070182826,0.9250084492466735,59,,,,,,,,,,,,
ACTIVE_EW,Carhart4,0.0011088510002415753,0.40527116494015153,1.0381165299039194,1.0100152700124391e-38,0.9657222476502177,0.9631831548835672,59,-0.09001360356472604,0.06748360548648223,-0.20183344162138786,3.373366661572823e-08,0.0003180268495324228,0.9932124778931103,,,,,,
ACTIVE_EW,FF5,0.000976849889410103,0.4539939755892386,1.0377660343046857,1.842918267423165e-39,0.9690188514624313,0.9660961016003965,59,-0.14490655576576214,0.004840639905153852,-0.13974133160422542,0.002852024920455467,,,-0.09077355031712814,0.07522897714080864,-0.07904421554686379,0.1936373600461922,,
ACTIVE_EW,FF5_LTRev,0.0011134662983442814,0.3937175106795677,1.030198994124666,2.4053771462971766e-38,0.9698536769483648,0.9663752550577914,59,-0.14456301655378032,0.004805213169684734,-0.09818266784985501,0.08747512212831611,,,-0.12377878045696032,0.03418053045206421,-0.051008724369730175,0.4304376679328537,-0.0788064619867932,0.2355769107703871
AGTHX,CAPM,-0.001555931780078072,0.38217201232052883,1.0990328534059908,4.6204903605978676e-35,0.9325392694522097,0.9313557478636519,59,,,,,,,,,,,,
AGTHX,Carhart4,0.00042060088758487835,0.7728654701901776,1.057980813142335,4.47101661255702e-37,0.9615576030115212,0.9587100180494116,59,0.05351741622055253,0.3163136400506462,-0.21539607491061522,6.442112822316119e-08,0.0004327983679881663,0.9915785667014805,,,,,,
AGTHX,FF5,0.00044333113252460196,0.7288543191031418,1.0605333756966226,2.4465331466941784e-40,0.9721293420648698,0.969500034712499,59,-0.04654079289506648,0.3406386848355698,-0.12406409673675868,0.006603294889826077,,,-0.1967998323481897,0.00019441600598342054,-0.0913954448138692,0.12717232618689234,,
AGTHX,FF5_LTRev,0.0006635601438028017,0.5953350317917557,1.0483351208153266,1.2337624189089985e-39,0.9741516571215924,0.9711691560202376,59,-0.045986999236016964,0.33298737422380625,-0.057070508630751526,0.29602530065220334,,,-0.25000507509614367,2.9256227161565365e-05,-0.04620154350435057,0.45635196114318066,-0.12703795496504008,0.04887012159219168
FCNTX,CAPM,0.0018391187270670403,0.40987783115970494,1.0161024912631993,3.4470665892198804e-28,0.8825652929155754,0.8805050348965504,59,,,,,,,,,,,,
FCNTX,Carhart4,0.0017971011128982794,0.2777804622495106,1.0182522466655037,1.630901411810879e-33,0.9456047024169346,0.9415754211144853,59,-0.23354462335000456,0.0002645064827456411,-0.1882708083321605,1.1171273549313011e-05,0.00020325533107674702,0.9965014605881801,,,,,,
FCNTX,FF5,0.0015103686462956056,0.37188769503755936,1.0149986929127492,2.5857520742136764e-33,0.9463688479888832,0.9413093053463251,59,-0.24327231863645757,0.00036044360249907147,-0.15541856647169205,0.009611226240426814,,,0.015252731713933246,0.8147645360941181,-0.06669298627985831,0.39488006482977805,,
FCNTX,FF5_LTRev,0.001563372452885764,0.3613647845453784,1.012062867434005,3.7224108461615454e-32,0.9464985479696527,0.9403253035046126,59,-0.24313903387154356,0.0004072079656349169,-0.13929482706895857,0.06510548534845542,,,0.0024475141822230297,0.973958636532248,-0.05581590523510984,0.5101910061158447,-0.030574969008546293,0.7239886142505845
SPY,CAPM,0.001294391072047664,0.05571174750582572,0.974977890744624,1.1230321412623602e-55,0.9872308684675678,0.9870068486161216,59,,,,,,,,,,,,
SPY,Carhart4,0.00010713181671894367,0.8168589990860282,0.9947949189846355,4.9901354378353235e-62,0.9947873020554431,0.9944011762817722,59,-0.14555077501546065,8.48232540017992e-12,0.048270377706203745,4.790454839724437e-05,-0.03525556317495139,0.008748572283785162,,,,,,
SPY,FF5,3.78911862410094e-05,0.918125779457134,0.9987217098117761,3.238004776228716e-67,0.9968822401256134,0.9965881118355769,59,-0.08659818505785824,8.549303351271514e-08,0.01391971743387847,0.27623990659842984,,,0.09121164383901048,3.627346061951829e-08,0.030112784652589954,0.082385911144112,,
SPY,FF5_LTRev,6.152871238724895e-05,0.8685475341859671,0.99741245193052,1.6678563158867748e-65,0.9969135792756808,0.9965574538074902,59,-0.08653874551345032,1.0279810731274002e-07,0.021110244609693594,0.19575589594609372,,,0.0855010414561428,2.769408200391445e-06,0.03496351715900508,0.062154376669761244,-0.013635183505780146,0.4707066443938375
