variable,coef,std_err,t_value,p_value,asset,model,r_squared,adj_r_squared,n_obs
const,0.0018391187270670403,0.0022152164785274237,0.8302207684413777,0.40987783115970494,FCNTX,CAPM,0.8825652929155754,0.8805050348965504,59
Mkt_RF,1.0161024912631993,0.049093602330627005,20.697248582822056,3.4470665892198804e-28,FCNTX,CAPM,0.8825652929155754,0.8805050348965504,59
const,0.0017971011128982794,0.0016391309971856133,1.0963743080839181,0.2777804622495106,FCNTX,Carhart4,0.9456047024169346,0.9415754211144853,59
Mkt_RF,1.0182522466655037,0.03689643549131372,27.597577736343233,1.630901411810879e-33,FCNTX,Carhart4,0.9456047024169346,0.9415754211144853,59
SMB,-0.23354462335000456,0.059815642830064894,-3.9044071466974017,0.0002645064827456411,FCNTX,Carhart4,0.9456047024169346,0.9415754211144853,59
HML,-0.1882708083321605,0.038879953780075215,-4.84236193790548,1.1171273549313011e-05,FCNTX,Carhart4,0.9456047024169346,0.9415754211144853,59
MOM,0.00020325533107674702,0.04614060638305848,0.004405129169506897,0.9965014605881801,FCNTX,Carhart4,0.9456047024169346,0.9415754211144853,59
const,0.0015103686462956056,0.0016771134420226679,0.9005763166944979,0.37188769503755936,FCNTX,FF5,0.9463688479888832,0.9413093053463251,59
Mkt_RF,1.0149986929127492,0.03645222535118457,27.84462904895778,2.5857520742136764e-33,FCNTX,FF5,0.9463688479888832,0.9413093053463251,59
SMB,-0.24327231863645757,0.06380880694753412,-3.8125194667326214,0.00036044360249907147,FCNTX,FF5,0.9463688479888832,0.9413093053463251,59
HML,-0.15541856647169205,0.05784230074092335,-2.6869361087107246,0.009611226240426814,FCNTX,FF5,0.9463688479888832,0.9413093053463251,59
RMW,0.015252731713933246,0.0647803508469427,0.23545305813441883,0.8147645360941181,FCNTX,FF5,0.9463688479888832,0.9413093053463251,59
CMA,-0.06669298627985831,0.0777512938026373,-0.8577733310670144,0.39488006482977805,FCNTX,FF5,0.9463688479888832,0.9413093053463251,59
const,0.001563372452885764,0.0016976905789550035,0.9208818569565735,0.3613647845453784,FCNTX,FF5_LTRev,0.9464985479696527,0.9403253035046126,59
Mkt_RF,1.012062867434005,0.037675129294826804,26.862890357033812,3.7224108461615454e-32,FCNTX,FF5_LTRev,0.9464985479696527,0.9403253035046126,59
SMB,-0.24313903387154356,0.06434258439623253,-3.778819830646718,0.0004072079656349169,FCNTX,FF5_LTRev,0.9464985479696527,0.9403253035046126,59
HML,-0.13929482706895857,0.07391979091205793,-1.884405047014771,0.06510548534845542,FCNTX,FF5_LTRev,0.9464985479696527,0.9403253035046126,59
RMW,0.0024475141822230297,0.07461641244949903,0.03280128462192586,0.973958636532248,FCNTX,FF5_LTRev,0.9464985479696527,0.9403253035046126,59
CMA,-0.05581590523510984,0.08417330640973085,-0.6631069589142009,0.5101910061158447,FCNTX,FF5_LTRev,0.9464985479696527,0.9403253035046126,59
LT_Rev,-0.030574969008546293,0.0861146780580971,-0.3550494491533598,0.7239886142505845,FCNTX,FF5_LTRev,0.9464985479696527,0.9403253035046126,59
const,-0.001555931780078072,0.0017666742356889087,-0.8807123286491704,0.38217201232052883,AGTHX,CAPM,0.9325392694522097,0.9313557478636519,59
Mkt_RF,1.0990328534059908,0.03915301426085973,28.070197765199037,4.6204903605978676e-35,AGTHX,CAPM,0.9325392694522097,0.9313557478636519,59
const,0.00042060088758487835,0.0014499440060353412,0.29008077955710143,0.7728654701901776,AGTHX,Carhart4,0.9615576030115212,0.9587100180494116,59
Mkt_RF,1.057980813142335,0.03263788286388066,32.415730442894926,4.47101661255702e-37,AGTHX,Carhart4,0.9615576030115212,0.9587100180494116,59
SMB,0.05351741622055253,0.05291177638487565,1.011446220048851,0.3163136400506462,AGTHX,Carhart4,0.9615576030115212,0.9587100180494116,59
HML,-0.21539607491061522,0.03439246529724888,-6.262885578250337,6.442112822316119e-08,AGTHX,Carhart4,0.9615576030115212,0.9587100180494116,59
MOM,0.0004327983679881663,0.04081510005900756,0.010603878646933542,0.9915785667014805,AGTHX,Carhart4,0.9615576030115212,0.9587100180494116,59
const,0.00044333113252460196,0.0012721563910838307,0.348487918334396,0.7288543191031418,AGTHX,FF5,0.9721293420648698,0.969500034712499,59
Mkt_RF,1.0605333756966226,0.027650444083144324,38.35502144224593,2.4465331466941784e-40,AGTHX,FF5,0.9721293420648698,0.969500034712499,59
SMB,-0.04654079289506648,0.04840148527331564,-0.9615571223126289,0.3406386848355698,AGTHX,FF5,0.9721293420648698,0.969500034712499,59
HML,-0.12406409673675868,0.04387565606403629,-2.8276294388780827,0.006603294889826077,AGTHX,FF5,0.9721293420648698,0.969500034712499,59
RMW,-0.1967998323481897,0.049138439464894074,-4.0050077798825745,0.00019441600598342054,AGTHX,FF5,0.9721293420648698,0.969500034712499,59
CMA,-0.0913954448138692,0.05897740895020791,-1.5496687026557991,0.12717232618689234,AGTHX,FF5,0.9721293420648698,0.969500034712499,59
const,0.0006635601438028017,0.001241666956564165,0.5344107292980952,0.5953350317917557,AGTHX,FF5_LTRev,0.9741516571215924,0.9711691560202376,59
Mkt_RF,1.0483351208153266,0.02755505844796756,38.04510604812929,1.2337624189089985e-39,AGTHX,FF5_LTRev,0.9741516571215924,0.9711691560202376,59
SMB,-0.045986999236016964,0.04705925916954769,-0.9772146873441521,0.33298737422380625,AGTHX,FF5_LTRev,0.9741516571215924,0.9711691560202376,59
HML,-0.057070508630751526,0.05406389300229902,-1.0556122665514422,0.29602530065220334,AGTHX,FF5_LTRev,0.9741516571215924,0.9711691560202376,59
RMW,-0.25000507509614367,0.05457339217428828,-4.5810799940329,2.9256227161565365e-05,AGTHX,FF5_LTRev,0.9741516571215924,0.9711691560202376,59
CMA,-0.04620154350435057,0.06156316969023102,-0.7504737611273764,0.45635196114318066,AGTHX,FF5_LTRev,0.9741516571215924,0.9711691560202376,59
LT_Rev,-0.12703795496504008,0.06298306154571309,-2.0170177798174507,0.04887012159219168,AGTHX,FF5_LTRev,0.9741516571215924,0.9711691560202376,59
const,0.001294391072047664,0.0006627045154324916,1.9531948883778523,0.05571174750582572,SPY,CAPM,0.9872308684675678,0.9870068486161216,59
Mkt_RF,0.974977890744624,0.014686849912285376,66.38441167217665,1.1230321412623602e-55,SPY,CAPM,0.9872308684675678,0.9870068486161216,59
const,0.00010713181671894367,0.00046034727338321597,0.23271956393181853,0.8168589990860282,SPY,Carhart4,0.9947873020554431,0.9944011762817722,59
Mkt_RF,0.9947949189846355,0.010362303870251686,96.0013266779903,4.9901354378353235e-62,SPY,Carhart4,0.9947873020554431,0.9944011762817722,59
SMB,-0.14555077501546065,0.016799125957451796,-8.664187374039951,8.48232540017992e-12,SPY,Carhart4,0.9947873020554431,0.9944011762817722,59
HML,0.048270377706203745,0.010919371754090685,4.420618584408978,4.790454839724437e-05,SPY,Carhart4,0.9947873020554431,0.9944011762817722,59
MOM,-0.03525556317495139,0.012958514223182558,-2.7206485687903785,0.008748572283785162,SPY,Carhart4,0.9947873020554431,0.9944011762817722,59
const,3.78911862410094e-05,0.00036685675403906164,0.10328605327237583,0.918125779457134,SPY,FF5,0.9968822401256134,0.9965881118355769,59
Mkt_RF,0.9987217098117761,0.007973667573558938,125.25248897051902,3.238004776228716e-67,SPY,FF5,0.9968822401256134,0.9965881118355769,59
SMB,-0.08659818505785824,0.013957727133619324,-6.204318527568378,8.549303351271514e-08,SPY,FF5,0.9968822401256134,0.9965881118355769,59
HML,0.01391971743387847,0.012652595921224237,1.1001471571955195,0.27623990659842984,SPY,FF5,0.9968822401256134,0.9965881118355769,59
RMW,0.09121164383901048,0.014170245519324724,6.436842870126722,3.627346061951829e-08,SPY,FF5,0.9968822401256134,0.9965881118355769,59
CMA,0.030112784652589954,0.01700754794044958,1.7705541538396479,0.082385911144112,SPY,FF5,0.9968822401256134,0.9965881118355769,59
const,6.152871238724895e-05,0.00036993432323047574,0.16632334045120611,0.8685475341859671,SPY,FF5_LTRev,0.9969135792756808,0.9965574538074902,59
Mkt_RF,0.99741245193052,0.00820957813577631,121.49375222874386,1.6678563158867748e-65,SPY,FF5_LTRev,0.9969135792756808,0.9965574538074902,59
SMB,-0.08653874551345032,0.014020535136721711,-6.17228548479533,1.0279810731274002e-07,SPY,FF5_LTRev,0.9969135792756808,0.9965574538074902,59
HML,0.021110244609693594,0.0161074510063092,1.3105887828822094,0.19575589594609372,SPY,FF5_LTRev,0.9969135792756808,0.9965574538074902,59
RMW,0.0855010414561428,0.016259247935735334,5.2586098566234805,2.769408200391445e-06,SPY,FF5_LTRev,0.9969135792756808,0.9965574538074902,59
CMA,0.03496351715900508,0.01834173760917157,1.9062270927658447,0.062154376669761244,SPY,FF5_LTRev,0.9969135792756808,0.9965574538074902,59
LT_Rev,-0.013635183505780146,0.01876477112056637,-0.7266373470889743,0.4707066443938375,SPY,FF5_LTRev,0.9969135792756808,0.9965574538074902,59
const,0.00014159347349448312,0.0017828526398685198,0.07941961681416655,0.9369770394939622,ACTIVE_EW,CAPM,0.9263014070182826,0.9250084492466735,59
