window,start_month,end_month,return_obs,cumulative_return_pct,annualized_return_pct,annualized_volatility_pct,sharpe_ratio,max_drawdown_pct,fund_id,fund_name,fund_type
1Y,2025-04,2026-03,12,11.81434599156117,11.81434599156117,14.574372900728811,0.7208217467567523,-8.145580589254752,cathay_esg,國泰台灣 ESG 永續高股息 ETF (00878),Passive ETF
3Y,2023-04,2026-03,36,59.478435305917785,16.83348248274923,14.82167766310914,1.015175671889615,-9.326018808777437,cathay_esg,國泰台灣 ESG 永續高股息 ETF (00878),Passive ETF
5Y,2021-04,2026-03,60,70.875873186459,11.310504047255154,13.680503309281914,0.7493403802316446,-16.049975973089857,cathay_esg,國泰台灣 ESG 永續高股息 ETF (00878),Passive ETF
CommonSample,2020-08,2026-03,68,111.29568106312307,14.112610027465887,13.703392036232021,0.9369860118615979,-16.049975973089868,cathay_esg,國泰台灣 ESG 永續高股息 ETF (00878),Passive ETF
1Y,2025-04,2026-03,12,130.34326424870466,130.34326424870466,22.34911903008567,3.8862587823516064,0.0,uni_penta,統一奔騰基金,Active Fund
3Y,2023-04,2026-03,36,246.70983914769167,51.352194454154,25.026686741927712,1.7373984142944203,-22.69595495628982,uni_penta,統一奔騰基金,Active Fund
5Y,2021-04,2026-03,60,342.78345931525126,34.65989695147969,25.62266314815919,1.243834809448481,-27.555976032797204,uni_penta,統一奔騰基金,Active Fund
CommonSample,2020-08,2026-03,68,539.4939635242746,38.74151491344169,25.589642672884853,1.3679868763669383,-27.555976032797226,uni_penta,統一奔騰基金,Active Fund
1Y,2025-04,2026-03,12,164.70120314209012,164.70120314209012,22.676366578093162,4.4943808442656294,-1.6441291657430135,nomura_growth,野村成長基金,Active Fund
3Y,2023-04,2026-03,36,268.60980337856546,54.47408346491977,27.143046298195127,1.6994506149016297,-22.917813605977177,nomura_growth,野村成長基金,Active Fund
5Y,2021-04,2026-03,60,281.5536763652001,30.71069639852755,28.061948370480117,1.051695919084345,-36.346604215456665,nomura_growth,野村成長基金,Active Fund
CommonSample,2020-08,2026-03,68,455.87805387346003,35.352716252513325,27.060362566297393,1.2156806871557342,-36.346604215456665,nomura_growth,野村成長基金,Active Fund
